temperature,mode,swing,fan,frequency,unique_cycle,code
28,C,1,50,36630,"3465,1756,417,1319,419,450,417,30032,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,17,18,34,34,34,34,33,17,17,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,33,17,34,20"
29,C,1,50,36630,"3464,1755,417,1321,417,452,417,30033,420,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,18,17,18,34,34,34,34,33,17,17,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,17,17,34,20"
30,C,1,50,36630,"3465,1755,417,1319,420,449,417,30032,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,17,18,34,34,34,34,33,17,17,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,34,34,18,20"
18,C,0,50,36968,"3464,1755,417,1318,419,450,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,34,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,17,17,36"
20,C,0,50,36900,"3467,1755,417,1321,417,450,417,30032,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,18,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,17,17,36"
22,C,0,50,36630,"3464,1758,417,1318,419,450,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,18,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,34,34,20"
23,C,0,50,36630,"3464,1757,417,1320,417,452,417,30032,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,17,18,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,18,34,34,20"
24,C,0,50,36697,"3464,1757,417,1321,417,450,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,33,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,34,34,20"
25,C,0,50,36630,"3463,1758,415,1321,417,452,417,30032,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,18,33,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,17,34,34,20"
26,C,0,50,36630,"3465,1758,415,1321,417,452,417,30034,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,33,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,18,34,20"
27,C,0,50,36630,"3465,1755,417,1321,417,452,415,30035,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,17,33,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,18,18,34,20"
28,C,0,50,36630,"3465,1755,417,1321,417,452,417,30033,420,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,17,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,18,34,20"
29,C,0,50,36563,"3465,1758,415,1321,417,452,417,30035,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,18,17,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,17,18,34,20"
30,C,0,50,36630,"3465,1755,417,1321,417,452,417,30032,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,17,18,34,34,34,34,34,34,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,33,34,20"
18,C,1,75,36630,"3464,1757,415,1321,419,449,417,30033,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,34,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,34,18,18,20"
20,C,1,75,36630,"3465,1755,417,1321,419,450,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,18,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,33,18,18,20"
22,C,1,75,36630,"3464,1758,417,1319,419,449,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,18,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,34,33,18,20"
23,C,1,75,36630,"3464,1757,417,1320,417,452,417,30032,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,17,18,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,18,33,18,20"
24,C,1,75,36900,"3464,1757,415,1320,417,452,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,33,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,33,33,18,20"
25,C,1,75,36630,"3466,1755,417,1320,417,451,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,18,33,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,17,33,18,20"
26,C,1,75,36968,"3465,1758,417,1319,417,452,417,30035,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,33,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,34,17,18,20"
27,C,1,75,36900,"3462,1758,417,1321,417,450,417,30032,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,17,33,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,18,17,18,20"
28,C,1,75,36968,"3462,1758,415,1321,417,452,415,30035,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,17,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,33,17,18,20"
29,C,1,75,36630,"3464,1757,417,1321,417,450,417,30034,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,18,17,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,17,17,18,20"
30,C,1,75,36630,"3464,1758,415,1321,417,452,417,30032,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,17,18,34,34,34,34,33,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,34,34,34,33,20"
18,C,0,75,36697,"3464,1757,415,1321,419,449,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,34,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,17,34,20"
20,C,0,75,36630,"3464,1757,417,1321,417,449,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,18,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,17,34,20"
22,C,0,75,36630,"3464,1757,417,1320,417,452,417,30032,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,18,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,34,18,20"
23,C,0,75,36900,"3466,1755,417,1321,417,452,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,17,18,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,18,34,18,20"
24,C,0,75,36630,"3465,1757,415,1320,417,452,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,33,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,34,18,20"
25,C,0,75,36630,"3464,1757,415,1321,417,450,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,18,33,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,17,34,18,20"
26,C,0,75,36900,"3464,1759,415,1321,417,452,417,30033,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,33,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,18,18,20"
27,C,0,75,36630,"3464,1755,417,1321,417,452,417,30032,419,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,17,33,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,18,18,18,20"
28,C,0,75,36968,"3464,1757,417,1320,417,450,415,30035,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,34,17,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,33,18,18,20"
29,C,0,75,36630,"3464,1757,415,1323,415,452,417,30034,417,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,18,17,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,17,18,18,20"
30,C,0,75,36563,"3465,1758,415,1321,417,450,417,30033,415,0","220,1,34,33,34,34,18,17,33,17,17,34,18,34,34,33,17,18,34,34,34,34,34,34,34,34,34,34,34,34,18,34,34,35,1,34,33,34,34,18,17,33,17,17,34,18,34,34,34,34,34,34,34,34,33,34,33,18,34,33,17,18,34,34,34,34,34,34,33,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,18,34,33,18,34,34,34,34,34,34,34,33,34,33,18,20"
